,Unnamed: 0,badge,firstname,lastname,middle,scopus,score,match_1
390,390,29943,James,Peerenboom,P,6602282133,0.972972973,James P. Peerenboom
391,391,40364,Temitope,Taiwo,A,8638792700,0.96969697,Temitope A. Taiwo
392,392,43708,Kevin,Beyer,A,55915069900,0.962962963,Kevin A. Beyer
393,393,44648,Candido,Pereira,,7202964476,1,Candido Pereira
396,396,46036,Katherine,Harkay,C,6701628855,0.972972973,Katherine C. Harkay
398,398,46951,Timothy,Roberts,,12756077600,1,Timothy Roberts
399,399,46953,Phani,Pokkuluri,R,6601909391,0.944444444,Phani Raj Pokkuluri
400,400,44673,Dillon,Fong,D,55566309400,0.962962963,Dillon D. Fong
403,403,46933,Michael,Molitsky,,12777263300,1,Michael Molitsky
406,406,14804,Donald,Hanson,A,7201616439,0.967741935,Donald A. Hanson
407,407,31291,John,Schneider,F,35396524200,0.909090909,John A. Schneider
408,408,35889,John,Kopasz,P,6603756881,0.962962963,John P. Kopasz
409,409,40837,David,Gosztola,J,6701530168,0.96969697,David J. Gosztola
412,412,36695,David,Chamberlain,B,55349308900,0.974358974,David B. Chamberlain
414,414,41201,Michael,McDowell,W,7005510637,0.972972973,Michael W. McDowell
420,420,37278,Daniel,Miller,J,55494922100,0.903225806,Daniel S. Miller
421,421,37289,Gregory,Robinson,L,55325200000,0.909090909,Gregory Robison
424,424,33161,Hsien-Hau,Wang,,56517025600,0.928571429,Hsien Hau Wang
426,426,46691,Geoff,Waldschmidt,,15924163000,1,Geoff Waldschmidt
429,429,45572,Gordon,Pusch,D,7005029920,0.965517241,Gordon D. Pusch
430,430,46383,Peter,Fuesz,L,55437844400,0.916666667,Peter Fuesz
432,432,22235,Paul,Messina,C,56265283100,0.923076923,Paul Messina
433,433,22284,Marion,White,M,55724788900,0.923076923,Marion White
435,435,35945,David,Schmalzer,K,55865981400,0.9375,David Schmalzer
439,439,23644,Shiu-Wing,Tam,,7202036953,0.923076923,Shiu Wing Tam
440,440,38644,James,Laidler,J,6701601543,0.928571429,James Laidler
443,443,38692,Stephen,Kuhlmann,E,55412141300,0.972972973,Stephen E. Kuhlmann
449,449,29354,Lawrence,Harding,B,7102215313,0.972972973,Lawrence B. Harding
450,450,39073,Michael,Duoba,J,6602974704,0.928571429,Michael Duoba
451,451,42612,Lois,McInnes,C,7004285244,0.965517241,Lois C. McInnes
452,452,42655,Dileep,Singh,,55706649700,1,Dileep Singh
